Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
"""Аваль"" ";http://tomskaval.ru/;ef_aa@bk.ru;+ 7 923 430 54 35;ул. Карла Маркса, 48/1, оф. 109;Кравцева Лидия Васильевна;Томск  
"ООО ""ВИСМУТ"" ";www.vismutrf.com;vismutrf@gmail.com;79093290258;г. Самара, Красноглинский район, мкр. Крутые Ключи, д. 43, оф. 18;Бодяжин Илья Викторович;Самара  
Михаил Набатов и партнеры ;http://lawyers-group.ru;;;;;Люберцы  
" ""ПАРИТЕТ"" ";;mtyuteva@bk.ru;83452531063;г. Тюмень. ул. М.Боровская, д.5;Тютьева Мария Александровна;Тюмень  
Юридическая фирма Amigdala ;;;;;;Санкт-Петербург
"Юридический центр ""РеалХауз"" ";;real-houz.spb@mail.ru;9292656;С-Пб, Невский пр. д. 80;Блажко Алексей Александрович;Санкт-Петербург
Адвокатское бюро В.Ю. Шевченко ;http://advokaty-orenburga.ru/;677367@bk.ru;83 532 677 367;г. Оренбург ул. Салмышская, д. 54\1 3 этаж офис 7;Шевченко Владимир Юрьевич;Оренбург  
Центр правовых услуг ;юрист-орел.рф;pravohelp@ya.ru;4 862 402 008;3022016, г. Орел, ул. Комсомольская, д. 231 - 12;Хомутов Е.В.;Орёл  
Компания АС-Профи ;www.asprofi33.ru;profyas@mail.ru;84 922 462 016;г.Владимир, ул. Комиссарова д. 53 А, 3 этаж;Фирсова И.В.;Владимир  
ACG ;;acg-kirov@yandex.ru;89195283512;Преображенская 82 корп. 1;Чернядьев М.В.;Киров
"""Конкурент"" ";www.regvrn.ru;regvrn@mail.ru;89202117202;город Воронеж, ул. Кольцовская, дом 24б;;Воронеж  
"ООО ""ЮК ""САРПРАВО"" ";www.spravo64.ru;moscowpravo@bk.ru;8 967 075 15 44;г. Балашиха, ул. Флёрова, д.3;Рыбина Наталья Юрьевна;Балашиха  
"ООО ""ЮК ""Альтернатива"" ";www.altomsk.ru;altomsk@bk.ru;+73812 332369, 332589;644010, г. Омск, ул. Маршала Жукова, 72/1, оф. 101;Ермолаев Игорь Александрович;Омск  
ЮрПрогресс ;;;;;;Стерлитамак  
ЮрИнфоПартнер ;;;;;;Ярославль  
"ЦПБ ""Ваш Юрист"" ";www.jurist26.ru;;79624019161;г. Ставрополь, г. Краснодар;;Ставрополь  
Прайм Брэнд ;https://pm-brand.ru/;director@pm-brand.ru;89054133212;Коммунаров 192;Маслеха Роман Сергеевич;Краснодар  
Национальная Служба Списания Долгов ;https://nssd.su;info@nssd.su;79 666 665 254;115114, г. Москва, Павелецкая пл., д. 1а, подъезд 1, вход в БЦ 3-й этаж;Смирнова Ольга Евгеньевна;Москва
Ампаро Правовой Центр ;http://amparo174.ru/;Amparo-mg@yandex.ru;79048181018;г. Магнитогорск, ул. Ленинградская, д. 2;Хорошильцев Алексей Александрович;Магнитогорск  
"""Bludov&amp;Partners"" ";https://bludovpartners.org/;bludovpartners@yandex.ru;79783201823;г. Симферополь, ул. Сергеева-Ценского,3;Блудов Владимир Михайлович;Симферополь  
"ООО ""Аристократ"" ";кредит-юрист.рф;;89049643157;г. Кемерово, пр. Октябрьский, 4-228;;Кемерово  
ООО Верхневолжское юридическое бюро ;vita197137   http://vub37.ru/;vub.iv@mail.ru;89106678400;г. Иваново ул Лежневская д. 55 оф 16;Галайба Вита Александровна;Иваново
ООО Юридическая фирма Правовой Советник ;www.pravosov.com;pravosov@yandex.ru;79397057672;г. Самара, ул. Ново-Садовая, д.17, офис 7;Молочков Андрей Александрович;Самара  
СКС ;https://sks73.ru/;info@sks73.ru;88422729448;улица Можайского, 4, 1 этаж, 1 кабинет;Ефремов Артем Игоревич;Ульяновск  
ООО ЮК Правовед ;http://yar-pravoved.ru/;Pravoved.yar@mail.ru;84 852 731 170;Ярославль, ул.Первомайская дом 37а;Семенова Екатерина Николаевна ;Ярославль  
"ЮК ""АВТО-ПРАВО"" ";;;;;;Великий Новгород
"ООО ""ЮК ""Киселев и партнеры"" ";;pawel@kiselew.com;+7 960 656–26–56;Россия, 302040, г. Орел, ул. Лескова, д.19;Киселев Павел Николаевич;Орёл  
Комплекс групп ;http://complex-rm.ru/;kompl-grupp@ya.ru;79 272 768 461;г.Саранск, ул.Московская, 14, оф. 306 (вход в БизнесИнкубатор);Писачкин Вячеслав Владимирович;Саранск  
"ООО ""Уральский Центр Юридической Помощи"" ";;OOOYZUP2019@yandex.ru;+7 351 724 02 88;г. Челябинск, проспект Ленина, дом 11Б, офис 1;Киякин Денис Сергеевич;Челябинск  
Эжвинское общество защиты прав потребителей ;https://ozppezhva.ru/;ozppezhva@yandex.ru;89041018686;167026, Республика Коми, г. Сыктывкар, ул. Славы, д. 8, офис 126, ТК Веждино;Сапелкин Владимир Анатольевич;Сыктывкар  
ООО Иристон ;;;;;;Краснодар  
ООО КИА ПЕРСПЕКТИВА ;http://perspektiva-buh.ru/;perspektiva.kia@mail.ru;79205858898;г. Белгород, ул. Победы, д. 69;;Белгород  
Защитник ;www.la-zashitnik.ru;;79 374 312 290;г. Пенза, ул. Коммунистическая, д. 28, офис 302;Батыров Руслан Бахтерович;Пенза  
Правое дело ;https://nashedelopravoe.ru/;d.vasnev@mail.ru;79186376353;г. Краснодар Краснодарский край, шоссе Нефтянников, 9;Денис Геннадиевич Васнев;Краснодар  
"ООО ""Право"" ";https://pravo-78.ru/;info@pravo-78.ru;79219972821;197341? г. Санкт-Петербург, Коломяжский пр., д. 33, корп. 1, офис 404;Хохоева Эльмира Хадзеумаровна;Санкт-Петербург
"ООО ""Правозащита"" ";;;;;;Москва
ООО АФ «Аудит-Консалтинг» ;http://nsaudit.ru;;88619920147;г. Краснодар, ул. Кубанская, 45, корп. 2;;Краснодар  
ЮРОКНО ;;2920700@yurokno.ru;78 612 920 700;г. Краснодар, ул. Севастопольская, д. 2;;Краснодар  
Содействие ;urist73.tiu.ru;;;;Залюков Радик Мунирович;Ульяновск  
Бизнес сервис ;http://sfb11.all.biz;sfb.11@bk.ru;78212297011;167000, Россия, г. Сыктывкар, ул. Интернациональная, д. 98;Рочев Николай Александрович;Сыктывкар  
Право Юридическое агенство ;;;;;;Воронеж  
"ООО ""Консалтинг - центр ""САНИНО"" ";Сайт: www.soveto.ru;E – mail: s@snbc.ru;831 277  5197;Нижний Новгород, улица Совнаркомовская, дом № 13, офис 237;Савельев Александр Викторович;Нижний Новгород  
Юридический сервис Антимоно ;http://antimono.ru/;anti_mono@yahoo.com;89649188388;г. Краснодар, ул. Переходная 1/ уд. Дмитриевская дамба 24;Журбенко Сергей Николаевич;Краснодар  
Мироненко Андрей Алексеевич ;www.slawyer.ru;mironenko_1991@list.ru;79508604904;Тролебуснная 24/2в;Кромская Анна Владимировна ;Ростов-на-Дону  
"ООО КФ ""Прецедент"" ";www.precedentnn.ru;info@precedentnn.ru;8314362333, 4197652;603005, Н.Новгород, ул.Нестерова, 9-812;Никоненкова Елена Валерьевна;Нижний Новгород  
"ИП ""Полетаев Павел Владимирович"" ";;;;;;Новосибирск  
"ООО ""СЮЦ"" ";;tati-7300@mail.ru;446644, 711369;ул. Профсоюзов 45;Немерицкая Татьяна Витальевна;Сургут  
ЮрБестПРО ;;;;;;Нижний Тагил  
Департамент Юридических Услуг ;;;;;;Москва
МОЕПРАВО ;http://mypravo.pro/;mypravo.pro@gmail.com;8 953 967 85 18;Рогожинская 18;Рябикин Роман;Тула  
"АИР "" Консалтум"" ";;;;;;Великий Новгород
Планета Закона ;https://www.planeta-zakona.ru;mail@planeta-zakona.ru;74 957 229 933;107045, Москва, Россия, улица Сретенка, дом № 26/1, подъезд 1, помещение 1 «А»;Довгопол Денис Александрович;Москва
Бизнес-КЛАСС ;бизнес-класс74.рф;business-cl@mail.ru;83512389908;г. Челябинск, ул. Бехтерева, д. 51А;Богатырева Н.В.;Челябинск  
"Агентство  ""ПРЕДСТАВИТЕЛЬСТВО"" ";ua-pv.ru;ua-pv@mail.ru;4144740;603029, г. Нижний Новгород, ул. Космонавта Комарова, дом 7 (вход со двора);Сергеев Александр Павлович;Нижний Новгород  
Бизнес и Право ;https://juristy-krasnoyarska.ru/;;73912725072;Красноярск, ул. Алексеева, 49;Пахоменко Нина Николаевна ;Красноярск  
"""РЕГИОН"" ";;region_miass@mail.ru;"8 3513 527095;";"город Миасс, улица Добролюбова, 4;";Новиков Кирилл Николаевич;Миасс  
"ООО """"Бона Фидес"" ";бонафидес.рф;mail@бонафидес.рф;89091838000;г. Тюмень, ул. Советская, 9;Кузнецов Вадим Юрьевич;Тюмень  
Sabin ;sabin_saratov    http://сабин.рф;sabin.client@gmail.com;78 452 683 771;Вавилова, 38/114;Громилов Сергей Александрович;Саратов  
"ЮК  ""Правовой центр ""ЮРЛАЙН"" ";www.yrline.ru;2049297@mail.ru;89041724549;Радищева 6а;Шорохов Илья Михайлович;Екатеринбург  
